
# Special countries...
REB 	= 	"countries/rebels.txt"

#ISHAHFAZH
POU		= "countries/Poumnia.txt"
VOK		= "countries/Vokonazh.txt"
JII		= "countries/Jiishanag.txt" #Jiishanâg
HAH		= "countries/Hahaboroo.txt"
VUG		= "countries/Vugioroo.txt" #Sublime Veyethu
SOG		= "countries/Sog.txt"
GHE		= "countries/Ghechi Confederacy.txt"
VAF		= "countries/Vafaut.txt" #Vâfaut
SHZ		= "countries/Shuknazh.txt"
PAK		= "countries/Paknag.txt"
GOZ		= "countries/Gozonazh.txt"
TWD		= "countries/Towuorud.txt"
FAH		= "countries/Fahseuhn.txt"
PRE		= "countries/Preuhn.txt"
BAH		= "countries/Bahdro.txt"
SON		= "countries/Soneuhn.txt"
YEU		= "countries/Yeuhn.txt"
RUD		= "countries/Rudtum.txt"
WUH		= "countries/Wuhntahs.txt"
DEU		= "countries/Deuuyeuru.txt"
TAH		= "countries/Tahsrot.txt"
CHY		= "countries/Chyivit.txt"
ROD		= "countries/Rodhrot.txt"
PHI		= "countries/Phiwjuino.txt"
DAZ		= "countries/Dazhuntar.txt"
YUB		= "countries/Yubi.txt"
DOP		= "countries/Dophoravo.txt"
TIT		= "countries/Tityir.txt"
VUP		= "countries/Vupwod.txt"
BYI		= "countries/Byintar.txt"
DUG		= "countries/Dugwod.txt"
NTU		= "countries/Ntuiagh.txt"
JJG		= "countries/Junugh Jugh Gash.txt"
PHP		= "countries/Phipigh.txt"
CHS		= "countries/Chiishozd.txt"
GAU		= "countries/Gaubja.txt"
PAS		= "countries/Pashdzii.txt"
POZ		= "countries/Pozha.txt"
KIF		= "countries/Kift.txt"
VUF		= "countries/Vufnazh.txt"
VII		= "countries/Viin.txt"
CHA		= "countries/Chaugii.txt"
POD		= "countries/Podaun.txt"
DIM		= "countries/Dimog.txt"
CII		= "countries/Chiibfa.txt"
SHA		= "countries/Shafiftnazh.txt"
PZH		= "countries/Pozhfa.txt"
PII		= "countries/Piijafa.txt"
POF		= "countries/Pofanazh.txt"
FOB		= "countries/Fobhinazh.txt"
SHD		= "countries/Shadiim.txt"
JOB		= "countries/Jobiinag.txt"
KAZ		= "countries/Kazhaukiim.txt"
NUZ		= "countries/Nuzh.txt"
NOF		= "countries/Nofknazh.txt"
GOM		= "countries/Gomudnazh.txt"
KIB		= "countries/Kibt.txt"
DZH		= "countries/Dauzh.txt"
CHH		= "countries/Chazhfa.txt"
NFS		= "countries/Nofshidi.txt"
NOB		= "countries/Nobhau.txt"
GIZ		= "countries/Gizobnazh.txt"
ZHO		= "countries/Zhofuzt.txt"
NIH		= "countries/Nihidiim.txt"
MOJ		= "countries/Mojifa.txt"
ZHD		= "countries/Zhodofa.txt"
NOK		= "countries/Nokishdza.txt"
NII		= "countries/Niidad.txt"
ZAT		= "countries/Zatiim.txt"
DHU		= "countries/Dhuk.txt"
DHA		= "countries/Dhamapaha.txt"
NIZ		= "countries/Niizfa.txt"
VON		= "countries/Vonadmi.txt"
UPO		= "countries/Upo.txt"
MAB		= "countries/Mabii.txt"
SHK		= "countries/Shukshoz.txt"
JAD		= "countries/Jadiim.txt"
RAN		= "countries/Rannu Empire.txt"
BUD		= "countries/Budobaman.txt"
TAK		= "countries/Takemog.txt"
MAM		= "countries/Mamatoukat.txt"
BOG		= "countries/Bogorug.txt"
YAM		= "countries/Yamatoukat.txt"
PED		= "countries/Pedithuhd.txt"
OMU		= "countries/Omuthuhd.txt"
POH		= "countries/Pohethuhd.txt"
SIH		= "countries/Sihnthuhd.txt"
SPO		= "countries/Spohthuhd.txt"
MUB		= "countries/Muboroo.txt"
VAS		= "countries/Vasimoroo.txt"
STH		= "countries/Sithit.txt"
MAC		= "countries/Machy.txt"
THS		= "countries/Thesoroo.txt"
UNI		= "countries/Uni.txt"
CHD		= "countries/Chazd.txt" #Châzd

#PAUKZHODO
NGJ		= "countries/Ngjutto.txt" #Ngjuttô
HUP		= "countries/Hupennohu.txt" #Hûpênnohu

#KOVAZH
QOO		= "countries/Qooxib.txt" #Qooxibi Empire
ORH		= "countries/Ourrhond.txt"
FCH		= "countries/Fazhri Chrur.txt" #Fazhri Chrůr
HUH		= "countries/Huhob.txt"
EID		= "countries/Eidhiganod.txt"
BUM		= "countries/Bumid.txt"
GOX		= "countries/Goxoor.txt"
SOM		= "countries/Soma.txt"
CHR		= "countries/Chro.txt"
CRR		= "countries/Chirran.txt" #Chirrån
OHO		= "countries/Ohochk.txt"
MHI		= "countries/Mhivoundho.txt"
NEX		= "countries/Nexabo.txt"
GHU		= "countries/Ghurghik.txt"
VUN		= "countries/Vun Mour.txt"
TIA		= "countries/Tiamten.txt"
UXA		= "countries/Uxamiar.txt"
BHI		= "countries/Bhibaunghir.txt"
AYU		= "countries/Anyumb.txt"
BBO		= "countries/Bu Boum.txt"
BIW		= "countries/Biwautk.txt"
NAR		= "countries/Narabospkh.txt"
OIU		= "countries/Oiubah.txt"
RBU		= "countries/Rabukh.txt"
EBE		= "countries/Ebejueng.txt"
DRI		= "countries/Durieng.txt"
UIN		= "countries/Uina.txt"
RIB		= "countries/Ribhitk.txt"
NHQ		= "countries/Nhuiqourr.txt"
RSS		= "countries/Risso.txt"
PUS		= "countries/Pusunetos.txt"
SUG		= "countries/Sugteq.txt"
GUS		= "countries/Gussana.txt"
GOG		= "countries/Gogion.txt"
NAI		= "countries/Naiosapa.txt"
