Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME50000;The New Reactionary Regime;;;;;;;;;;;;;
EVTDESC50000;The recent successful military action by reactionary cadres has caused the total overthrow of our nation’s government. Revolutionary guards organized by radicalized noblemen and clerical dissenters seized the major arteries of government in $CAPITAL$, causing most of the remaining legitimate government to flee or resign. The capital remains in a somber mood after the closure of frantic violence in the streets. Citing causes of tradition, legitimacy, the ancestral faith, and the divinely ordained order, they have rolled back political and social privileges dramatically. The parliament has been suspended, and rapidly a number of edicts restoring the old nobility and church to positions have been promulgated. This will be sure to cause domestic unrest, as well as has destabilized our position abroad as local governments attempt to regularize relations with the new regime. It remains to be seen how this will affect the development of our country long term. ;;;;;;;;;;;;;
EVT50000OPTA;Reaction is the order of the day, it seems.;;;;;;;;;;;;;
EVTNAME50001;The New Theocratist Regime;;;;;;;;;;;;;
EVTDESC50001;The recent successful seizure of power by the theocratist paramilitary faction in $CAPITAL$ has affected a radical transformation of our state. After the brutal capture of the city, the theocratists forced a mass resignation of most officials, and performed a couple of particularly brutal religious killings of a number of non-compliant social activists and former governmental elites. They have rapidly set up a parallel bureaucracy as an outgrowth of their paramilitary faction’s political secretariat, and have quickly and violently enforced Theocratic control over much of the rest of the country though local gauleiter and collaborating clergy. Ultimately state power now rests in theory within the national theocratist synod, the collection of life-term clerics and internally elected party functionaries that head the political and military direction of the theocratist party. ;;;;;;;;;;;;;
EVT50001OPTA;I’ll see you at worship, then, fonctionnaire…;;;;;;;;;;;;;
EVTNAME50002;The New Free-Yoker Regime;;;;;;;;;;;;;
EVTDESC50002;The recent seizure of $CAPITAL$ by radical bands of 'Free-Yokers' has dramatically transformed the political constitution of our country. In their iconoclastic crusade against all symbols of privilege, aristocracy, and clericalism, they have routed the last government supporters that continued to fight and hung those which they could capture. Proclaiming the rights of the citizen-farmer and the “unfettered national spirit”, they have established a radical directorate committee to direct the “preservation of the national corps”, which has assumed most governmental powers for the time being. The central government in the meantime has passed a number of radical edicts, guaranteeing the privileges of the yeoman farmer as well as the rural laborer and the urban menu peuple, establishing labor regulation boards, grain distribution laws, encouraging anti-competitive and protective economic policies, and abolishing aristocratic privilege. Now it only remains to be seen how we can spread liberty beyond our borders…;;;;;;;;;;;;;
EVT50002OPTA;Hurrah for the popular will, I say!;;;;;;;;;;;;;
EVTNAME50003;The New Absolutist Regime;;;;;;;;;;;;;
EVTDESC50003;The recent capture of our seat of government by the so-called $COUNTRY_ADJ$ Absolutist Army Faction has ushered in an age of new and shockingly different governments. Proclaiming the ‘age of the state’ begun, in the central square of $CAPITAL$, now rechristened ‘State Square’, the reconstruction of society began with the total abolition of identities beyond ‘citizen’, and it is clear that paramount leadership seems to lie in the bureaucratic secretariat or the military-political commissariate. Most state offices have either been awarded by appointment by the party leadership, or have been abolished and reshaped. Much private land has been seized as “wastage” for alternative usage, and a number of “inefficiencies, abuses, and crimes” have been abolished. It seems that in the foreseeable future our country will be under the strict and punctual leadership of a swarm of party functionaries, teachers, shop-floor managers and agricultural overseers.;;;;;;;;;;;;;
EVT50003OPTA;Why, good chap, I believe that’s quorum!;;;;;;;;;;;;;
EVTNAME50004;The Age of the State;;;;;;;;;;;;;
EVTDESC50004;Recently, a certain group of new political theorists in $COUNTRY$, stimulated, they say, by a reflection upon the perennial disorders of war, industrial recession, famine, inefficiency, have diagnosed the source of society's ills as not one of inequality or political radicalism, but one of 'anarchy'. Growing out of social liberationist speculation, they have arrived at the conclusion that despite the correct impulses of liberationism, the current state cannot correctly support its intentions. Claiming the current state is ill suited to deal with modern material civilization - the various industrial innovations that have reshaped the economic and attendant social order of the day - they propose a radical reorganization of the state along the lines of the most efficient industrial and corporate enterprises. Endorsing all reforms to rid the state of inefficiency, by means centralized planning, a needed expression of state bureaucracy, rationalization of legislation, elimination of autonomy, etc, the 'statist' ideology demands that the state itself be rationalized to save the gains of social libertarianism from the new ills of inefficiency and the vagaries of the market.;;;;;;;;;;;;;
EVT50004OPTA;Fascinating;;;;;;;;;;;;;
EVTNAME50005;The Doctrine of Absolutism;;;;;;;;;;;;;
EVTDESC50005;Ever since the increased agitation of statist reforms and political organization, a new, more virulent and extreme form of statism has emerged from a circle of intellectuals in $COUNTRY$ out of frustration with the statist impulse to compromise with and even protect Liberationist reforms. Turning their back on statism's roots as a means for the preservation of social Liberationism, they have come to suggest that the state itself is an 'absolute' good, an entity that serves no greater good than itself. They cry that the efficiency and capacity of the state must be enforced and pursued 'absolutely', with total indifference to petty squabbling and selfish demands of its constituents. This, they claim, will ultimately, and exclusively, bring true prosperity to those members of the state, unlike the illusions of other ideologies which bring only selfish gain to certain members of the state. Ultimately the absolutist impulse is a radical reformulation and indeed clarification of the purpose and even very being of the state: the state should be seen as an enterprise that succeeds or fails in the preservation and expansion of its own power, capacity, and efficiency, and nothing else.;;;;;;;;;;;;;
EVT50005OPTA;How peculiar;;;;;;;;;;;;;
EVTNAME50006;The First Theocratist Synod;;;;;;;;;;;;;
EVTDESC50006;The principles of conservatism and reaction have long languished in the doldrums of opposition and desperate compromise. Now, however, we are seeing the revival of the forces of reaction. The 'theocratist' speculators of $COUNTRY$ make radical claims: everywhere, fat and useless bureaucracies deliver grains to idle vagrants and wastrels who have been uprooted from their ancestral homes, great slum tenements have risen up in our once bright cities, the humble farmer is ruined by the slump in the prices of commodities, and mankind wallows, spiritually blighted by this atheistic age of worldly delights. And so a voice hearkens for the halcyon days of yore, when each man knew his station and worked the land of a fatherly lord. A day when each man did not indulge in strange, synthetic compounds, or interpret scriptures in his own degenerate way, but listened to the strictures of the educated priest. But how to achieve this, in such an age of markets and factories? The theocratist ideology claims that the authoritarian and centralizing implements of the modern state pioneered by statism must be employed in fact explicitly for the sake of moral edification and social order.;;;;;;;;;;;;;
EVT50006OPTA;Interesting;;;;;;;;;;;;;
EVTNAME50007;A Country Mobilized;;;;;;;;;;;;;
EVTDESC50007;Conscripts are being drafted left and right and the poor are being trained and prepared to fight. Military camps are full of fresh recruits, troops are carrying out exercises in our borders and every aspect of society and every signal the government gives seems to indicate a war is in progress, yet there's no war. This large disruption in the country's daily life is angering our population and making our neighbours increasingly wary.;;;;;;;;;;;;;
EVT50007OPTA;These are just harmless exercises.;;;;;;;;;;;;;
EVTNAME50008;A Theocratic Government;;;;;;;;;;;;;
EVTDESC50008;Recent reforms in our state have dramatically elevated the significance and constitutional role of a number of religious authorities and bodies. This preponderant influence of the clergy and faith institutions in decision making, legislation, and judgment means our state most properly ought to be described as a 'theocracy' above anything else. Gradually, through the influence of the courts and religious police, much of the nominally “secular” government has become beholden to religious authorities, and has melded into one structure. Religious discourse dominates the public sphere, and there is at this point very few who would not publicly profess the state faith. ;;;;;;;;;;;;;
EVT50008OPTA;Glory be, and all that, yes, yes.;;;;;;;;;;;;;
EVTNAME50009;The Rise of a Prince;;;;;;;;;;;;;
EVTDESC50009;Recent reforms in our country have graduated centralized power around a single authoritarian personage of an aristocratic dynasty, suggesting that at this point it is probably appropriate to call our country a “princely despotate”, as per the common parlance. This creeping shift has occurred as the executive has gradually gained power by the slow removal of special ecclesiastical dominion, as well as centralized the bureaucracy in the hands of loyalist bourgeois officeholders. The effective decline of aristocratic power in active governance has weakened the parliament with the rise of the power of the prince. Local magnates and squires in the countryside are bewailing a decline in “natural liberties” and “the old constitution and our beloved commonwealth”, and clerics are warning of a “new secularism”, but it seems most subjects have quiescently accepted the augmented power of our monarch, who increasingly formalizes their power by the day, as the royal court grows more sure of itself.;;;;;;;;;;;;;
EVT50009OPTA;Well, at least it will cut down on squabbling...;;;;;;;;;;;;;
EVTNAME50010;The New Constitution;;;;;;;;;;;;;
EVTDESC50010;Our state has recently undergone a number of critical political changes related to political decentralization, corporate legislation, and aristocratic privilege, such that we might at this point call our country an “aristocratic commonwealth”. Power lies now first and foremost amongst a body of great noble proprietors collaborating in a parliamentary body. The gradual devolution of both the regional executive and judicial powers to local aristocratic magnates has enabled the graduate capture of the country by these great barons and marcher lords. While this generally bodes poorly for the serf and whatever remnants of an executive remain, most burghers and yeomen have silently accepted the changes, integrating themselves into the increasingly aristocratic structures through town charters and elective corporations. It is not long, surely, before the executive is neigh more than a figurehead, and the church is all but private property of the local lord, some are saying. ;;;;;;;;;;;;;
EVT50010OPTA;Two, or six hundred, heads, are better than one?;;;;;;;;;;;;;
EVTNAME50011;The Abolition of Serfdom;;;;;;;;;;;;;
EVTDESC50011;Our state laws are explicit on the illegality of any sort of arrangements of serfrom or land-bondage. The strict enforcement of these is the business of our censors, tax collectors and assessors, and regional government officials, who work to extend this legislation into all the reaches of our great territory in order to abolish this archaic practice wherever it may be.;;;;;;;;;;;;;
EVT50011OPTA;Well, that will make these folk jolly!;;;;;;;;;;;;;
EVTNAME50012;The Abolition of Thralldom;;;;;;;;;;;;;
EVTDESC50012;Our state laws explicitly forbid the rearing, culling, vending, driving, booleying, pasturing, breeding, and above all consuming the flesh of hominid cattle, or 'thralls'. Commonly the preserve of ranchers and herdsmen in the desolate reaches or barbarous uplands of our society, the abolition and enforcement of this policy is usually the purview of regional sheriffs and the mounted gendarme, who work tirelessly to eradicate the practice wherever they may find it.;;;;;;;;;;;;;
EVT50012OPTA;Social progress, they call it!;;;;;;;;;;;;;
EVTNAME50013;$FROMCOUNTRY_ADJ$ Winds;;;;;;;;;;;;;
EVTDESC50013;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the $UNION_ADJ$ Congress. $FROMCOUNTRY$ has accepted the $UNION_ADJ$ crown, and proclaimed themselves the one true $UNION_ADJ$ nation. These winds of change will be hard to resist.;;;;;;;;;;;;;
EVT50013OPTA;Long live the $UNION_ADJ$ people!;;;;;;;;;;;;;
EVT50013OPTB;We will not have our ancestral rights infringed!;;;;;;;;;;;;;
EVTNAME50014;The $FROMCOUNTRY_ADJ$ Congress;;;;;;;;;;;;;
EVTDESC50014;EVTDESC11100;A rising tide of nationalism within greater $CULTURE_GROUP_UNION$ has toppled the government in $FROMCOUNTRY$. A congress of nationalistic revolutionaries has been convened, with representatives from all of $CULTURE_GROUP_UNION$, which has decreed that the time is right for the nation to unite under one banner. The congress has offered the crown of this united $CULTURE_GROUP_UNION$ to us. We could accept the offer, but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;;;;;;;
EVT50014OPTA;Hurrah!;;;;;;;;;;;;;
EVT50014OPTB;I will not accept a crown from the gutter.;;;;;;;;;;;;;
EVTNAME50015;A Scandal of the Past;;;;;;;;;;;;;
