Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
public_order;Public Order;;;;;;;;;;;;;x
feudal_courts;Feudal Courts;;;;;;;;;;;;;x
feudal_courts_desc;Justice is in the hands of various aristocratic and ecclesiastical courts.;;;;;;;;;;;;;x
appointed_justices;Appointed Justices;;;;;;;;;;;;;x
appointed_justices_desc;Judges are appointed by the central government to regional courts.;;;;;;;;;;;;;x
unified_legal_code;Unified Legal Code;;;;;;;;;;;;;x
unified_legal_code_desc;There is a unified legal code for the entire polity.;;;;;;;;;;;;;x
land_reform_civ;Land Reform;;;;;;;;;;;;;x
feudal_tenure;Feudal Tenure;;;;;;;;;;;;;x
feudal_tenure_desc;Land is held in feudal terms, with commons and noble estates.;;;;;;;;;;;;;x
enclosure_of_commons;Enclosure of Commons;;;;;;;;;;;;;x
enclosure_of_commons_desc;The government has passed private acts enclosing upon commons.;;;;;;;;;;;;;x
private_landownership;Private Landownership;;;;;;;;;;;;;x
private_landownership_desc;Most land is held in private writs.;;;;;;;;;;;;;x
land_banking;Land Banking;;;;;;;;;;;;;x
land_banking_desc;The government has established various land banks for the allocation of land.;;;;;;;;;;;;;x
farm_cooperatives;Farming Cooperatives;;;;;;;;;;;;;x
farm_cooperatives_desc;Many lands are held as cooperatives.;;;;;;;;;;;;;x
collectivized_farming;Collectivized Farming;;;;;;;;;;;;;x
collectivized_farming_desc;Much land is held in large collectives.;;;;;;;;;;;;;x
banking_system;Banking System;;;;;;;;;;;;;x
unregulated_currency;Unregulated Currency;;;;;;;;;;;;;x
unregulated_currency_desc;The government makes little effort to restrict bills of exchange.;;;;;;;;;;;;;x
banking_licenses;Banking Licenses;;;;;;;;;;;;;x
banking_licenses_desc;All banks need a license to issue bills.;;;;;;;;;;;;;x
central_banking;Central Banking;;;;;;;;;;;;;x
central_banking_desc;There is an established central bank.;;;;;;;;;;;;;x
regulatory_institutions;Regulatory Institutions;;;;;;;;;;;;;x
regulatory_institutions_desc;There are various bodies dedicated to regulating currency flows.;;;;;;;;;;;;;x
school_system;School System;;;;;;;;;;;;;x
no_school_system;No School System;;;;;;;;;;;;;x
no_school_system_desc;There is no governmental school system.;;;;;;;;;;;;;x
parish_school_system;Parish School System;;;;;;;;;;;;;x
parish_school_system_desc;The government works with the clergy to provide schooling.;;;;;;;;;;;;;x
state_school_system;State School System;;;;;;;;;;;;;x
state_school_system_desc;There is a state school system.;;;;;;;;;;;;;x
thralldom;Thralldom;;;;;;;;;;;;;x
thralldom_allowed;Allowed;;;;;;;;;;;;;x
thralldom_allowed_desc;The pratice of keeping thralls is permitted.;;;;;;;;;;;;;x
thralldom_outlawed;Outlawed;;;;;;;;;;;;;x
thralldom_outlawed_desc;The pratice of keeping thralls is outlawed.;;;;;;;;;;;;;x
administrative_reform;Administrative Reform;;;;;;;;;;;;;x
hereditary_bureaucracy;Hereditary Bureaucracy;;;;;;;;;;;;;x
hereditary_bureaucracy_desc;Civil office is inherited.;;;;;;;;;;;;;x
nepotistic_bureaucracy;Nepotistic Bureaucracy;;;;;;;;;;;;;x
nepotistic_bureaucracy_desc;There is no civil appointment bodies, leading to common nepotism.;;;;;;;;;;;;;x
appointed_bureaucrats;Appointed Bureaucrats;;;;;;;;;;;;;x
appointed_bureaucrats_desc;Bureaucrats are appointed by the government.;;;;;;;;;;;;;x
professional_bureaucracy;Professional Bureaucracy;;;;;;;;;;;;;x
professional_bureaucracy_desc;The civil service is meritocratic and outcomes oriented.;;;;;;;;;;;;;x
legislative_system;Legislative System;;;;;;;;;;;;;x
tribal_assembly;Tribal Assembly;;;;;;;;;;;;;x
tribal_assembly_desc;The legislative assembly is composed of delegates chosen by hereditary tribal censi.;;;;;;;;;;;;;x
noble_parliament;Noble Parliament;;;;;;;;;;;;;x
noble_parliament_desc;All hereditary peers of the higher orders have a seat in the legislative assembly.;;;;;;;;;;;;;x
regulated_elections;Regulated Elections;;;;;;;;;;;;;x
regulated_elections_desc;The legislative assembly is composed of candidates chosen by organised regional election.;;;;;;;;;;;;;x
approved_candidacy;Approved Candidacy;;;;;;;;;;;;;x
approved_candidacy_desc;The legislature only consists of delegates chosen in elections directed by the central government.;;;;;;;;;;;;;x
appointed_legislatures;Appointed Legislatures;;;;;;;;;;;;;x
appointed_legislatures_desc;The legislature is composed of civil servants chosen by the ruling party.;;;;;;;;;;;;;x
