Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
some_fake_ANY_title_1;Poumnaks worship snakes?;;;;;;;;;;;;;x
some_fake_ANY_1;Journalist interviews a number of Pashdzii aristocrats, finds prevailing opinion is that Poumnaks worship snakes.;;;;;;;;;;;;;x
some_fake_ANY_title_2;The Na'tau of Bafozh!;;;;;;;;;;;;;x
some_fake_ANY_2;Reports emerge on the Strange Na'tau people of Bafozh. These layabouts worship the sun and don't live in one place!;;;;;;;;;;;;;x
some_fake_ANY_title_3;The Strange Vuyti;;;;;;;;;;;;;x
some_fake_ANY_3;One witness claims Vuyti migrants in $OURCAPITAL$ are engaging in their strange rites right under the noses of the religious police!;;;;;;;;;;;;;x
some_fake_ANY_title_6;The Beast Man;;;;;;;;;;;;;x
some_fake_ANY_6;An explorer has gotten his hands on a Bafozhi beast man, and is charging a pittance in $CAPITAL$ to have a look at the strange fellow.;;;;;;;;;;;;;x
some_fake_ANY_title_5;Villagers show impudence;;;;;;;;;;;;;x
some_fake_ANY_5;In a small village some of the awful folk span on some soldiers. The local police have decided to cane them.;;;;;;;;;;;;;x
some_fake_ANY_title_7;Thrall trys Pruub;;;;;;;;;;;;;x
some_fake_ANY_7;A generous man has given a thrall some Pruub. He said of the matter 'I just couldn't stand the way he would look at me when I smoked.';;;;;;;;;;;;;x
some_fake_ANY_title_8;Soothsayer proclaims doom;;;;;;;;;;;;;x
some_fake_ANY_8;A very old man was found in $ANYPROVINCE$ who is certain the world is going to end soon. He said 'I saw it clear as day'.;;;;;;;;;;;;;x
some_fake_ANY_title_9;Pruub Craze;;;;;;;;;;;;;x
some_fake_ANY_9;People in our country are pratically desparate for Pruub, which is always in short supply. One man said 'I need it like a fish needs water'.;;;;;;;;;;;;;x
some_fake_ANY_title_62;100 Generations!;;;;;;;;;;;;;x
some_fake_ANY_62;Tehurite Family claims to have lived in same land for over 100 generations, since beginning of time.;;;;;;;;;;;;;x
some_fake_ANY_title_10;Charming New Novel;;;;;;;;;;;;;x
some_fake_ANY_10;A leading author in $OURCOUNTRY$ has written a charming new novel. It features the story of a likely heir who has been defrauded of his inheritance.;;;;;;;;;;;;;x
