Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#dominion_real_liberationist;Liberationist Party;;;;;;;;;;;;;x
#dominion_real_free_yoker;Free-Yoker Faction;;;;;;;;;;;;;x
#dominion_real_statist;Statist Party;;;;;;;;;;;;;x
#dominion_real_absolutist;Absolutist Party;;;;;;;;;;;;;x
#dominion_real_theocratist;Theocratist Party;;;;;;;;;;;;;x
#dominion_real_conservative;The New Conservatives;;;;;;;;;;;;;x
#dominion_real_reactionary;The Old Guard;;;;;;;;;;;;;x
#dominion_real_conservative_old;The Old Conservatives;;;;;;;;;;;;;x
dominion_real_liberationist;Liberationist Party;;;;;;;;;;;;;x
dominion_real_free_yoker;The Boer Party;;;;;;;;;;;;;x
dominion_real_statist;Statist Party;;;;;;;;;;;;;x
dominion_real_absolutist;Absolutist Party;;;;;;;;;;;;;x
dominion_real_theocratist;Theocratist Party;;;;;;;;;;;;;x
dominion_real_conservative;The Conservatives;;;;;;;;;;;;;x
dominion_real_reactionary;The Exclusionists;;;;;;;;;;;;;x
dominion_real_conservative_old;The Particularists;;;;;;;;;;;;;x
bonded_state_liberationist;The Liberation Party;;;;;;;;;;;;;x
bonded_state_free_yoker;The Radicals;;;;;;;;;;;;;x
bonded_state_statist;The Development Party;;;;;;;;;;;;;x
bonded_state_absolutist;The Absolutist Party;;;;;;;;;;;;;x
bonded_state_theocratist;The Theocratist Party;;;;;;;;;;;;;x
bonded_state_conservative;The Moderates;;;;;;;;;;;;;x
bonded_state_reactionary;The Reformers;;;;;;;;;;;;;x
bonded_state_conservative_old;The Particularists;;;;;;;;;;;;;x
JII_liberationist;The Social Radicals;;;;;;;;;;;;;x
JII_free_yoker;Freemans' Union;;;;;;;;;;;;;x
JII_statist;Social-Authoritarian Party;;;;;;;;;;;;;x
JII_absolutist;All-Syndicates Absolutist Party;;;;;;;;;;;;;x
JII_theocratist;Party of the Fist;;;;;;;;;;;;;x
JII_conservative;The Conservatives;;;;;;;;;;;;;x
JII_reactionary;The Country Party;;;;;;;;;;;;;x
JII_conservative_old;The Particularists;;;;;;;;;;;;;x
GOZ_liberationist;The Radicals;;;;;;;;;;;;;x
GOZ_free_yoker;Landsman and Yeoman's Confederation;;;;;;;;;;;;;x
GOZ_statist;The Unionists;;;;;;;;;;;;;x
GOZ_absolutist;Solidarty Party;;;;;;;;;;;;;x
GOZ_theocratist;Deacon Mogga's Clique;;;;;;;;;;;;;x
GOZ_conservative;The Federalists;;;;;;;;;;;;;x
GOZ_reactionary;The Royalists;;;;;;;;;;;;;x
GOZ_conservative_old;The Particularists;;;;;;;;;;;;;x
TGN_liberationist;The Social-Radical Bloc;;;;;;;;;;;;;x
TGN_free_yoker;Pan-Nâgi Landsman's Bund;;;;;;;;;;;;;x
TGN_statist;The Ministerial Party;;;;;;;;;;;;;x
TGN_absolutist;The Land Reform Trust;;;;;;;;;;;;;x
TGN_theocratist;The Theocratist Party;;;;;;;;;;;;;x
TGN_conservative;The Backbenchers;;;;;;;;;;;;;x
TGN_reactionary;The Ultra-Regionalists;;;;;;;;;;;;;x
TGN_conservative_old;The Particularists;;;;;;;;;;;;;x
POU_liberationist;The Dridniks;;;;;;;;;;;;;x
POU_free_yoker;Mudmens' Bund;;;;;;;;;;;;;x
POU_statist;Imperial Reform Party;;;;;;;;;;;;;x
POU_absolutist;Lord Shum's Faction;;;;;;;;;;;;;x
POU_theocratist;Imperial Temple League;;;;;;;;;;;;;x
POU_conservative;The Royalists;;;;;;;;;;;;;x
POU_reactionary;The Ultraroyalists;;;;;;;;;;;;;x
POU_old_conservative;The Provincialists;;;;;;;;;;;;;;x
PAK_liberationist;Free-Communitarian Party;;;;;;;;;;;;;x
PAK_free_yoker;The Bandits' League;;;;;;;;;;;;;x
PAK_statist;Developmentalist Party;;;;;;;;;;;;;x
PAK_absolutist;The Reform Party;;;;;;;;;;;;;x
PAK_theocratist;Justicial Party;;;;;;;;;;;;;x
PAK_conservative;The Federalists;;;;;;;;;;;;;x
PAK_reactionary;The Magnates' Faction;;;;;;;;;;;;;x
PAK_conservative_old;The Conederalists;;;;;;;;;;;;;x
PAS_liberationist;The Municipal Reform Party;;;;;;;;;;;;;x
PAS_free_yoker;West-Pozzak Dining Club;;;;;;;;;;;;;x
PAS_statist;Road-Reform League;;;;;;;;;;;;;x
PAS_absolutist;The PSGA;;;;;;;;;;;;;x
PAS_theocratist;The Poets' Party;;;;;;;;;;;;;x
PAS_conservative;The Jokzo Club;;;;;;;;;;;;;x
PAS_reactionary;The Courtiers' Party;;;;;;;;;;;;;x
PAS_conservative_old;The Burghers' Syndicate;;;;;;;;;;;;;x
VOK_liberationist;The Radical Party;;;;;;;;;;;;;x
VOK_free_yoker;The Metayers' League;;;;;;;;;;;;;x
VOK_statist;Orthodox Mudtian Statist Party;;;;;;;;;;;;;x
VOK_absolutist;The VSGA;;;;;;;;;;;;;x
VOK_theocratist;Doshkine Honour League;;;;;;;;;;;;;x
VOK_conservative;The Constabular Party;;;;;;;;;;;;;x
VOK_reactionary;The High Constabulary;;;;;;;;;;;;;x
VOK_conservative_old;The Agrarian League;;;;;;;;;;;;;x
GAU_liberationist;The Social Radicals;;;;;;;;;;;;;x
GAU_free_yoker;Soldiers of the False Nimiz;;;;;;;;;;;;;x
GAU_statist;The Statists;;;;;;;;;;;;;x
GAU_absolutist;All-Gaubja Absolutist Syndicate;;;;;;;;;;;;;x
