Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
post_napoleonic_thought;Gozomedic Army Thought;;;;;;;;;;;;;x
post_napoleonic_thought_desc;Gozomedic Army Thought;;;;;;;;;;;;;x
post_napoleonic_army_doctrine;Gozomedic Army Doctrine;;;;;;;;;;;;;x
post_napoleonic_army_doctrine_desc;The dynamic Greatlord of the eastern domains, Gozomedes Midodazh, at the outset of his reign, marshaled massive forces to begin an invasion of the rebellious and fractured imperial provinces. His army laws disrupted the traditional dynamic of noble officers leading the sons of their serfs into battle, and created some of the first true massive armies. The scale of tactics prompted a pivot to wars of dynamic movement, and grand battles, as well as logistical and officerial innovations as the military staff gained increasing flexibility and responsibility. His vastly effective armies, as demonstrated most spectacularly in the battle of Adnozhkt, against the combined forces of the southern alliance, demanded the large adoption of Gozomedic tactics and scales of arms by most of the foremost early states of Ishafazh in the early parts of the fourteenth century.;;;;;;;;;;;;;x
field_fortifications;Field Fortifications;;;;;;;;;;;;;x
field_fortifications_desc;In the years following increasingly dynamic and grand battles, there were redoubled efforts to innovate in the area of fortifications and syngerise them with the dramatic mobile warfare of the early fourteenth century. Innovations accumulated in carefully positioned fortresses as well as trenching, embankments, and sappers embedded in units to provide shelter for mobile artillery positions.;;;;;;;;;;;;;x
railroad_transport_groups;Railroad Transport Corps;;;;;;;;;;;;;x
railroad_transport_groups_desc; The advent of the railroad and especially its proliferation in the fractious territories in the Great Nag encouraged the increased integration of civilian, military, and private railway organization in pursuit of military aims. Civilian and private entities worked closely with military authorities to ensure enough rolling stock for hasty mobilization, and timetables were communicated with the general staff; train conductors were either part of the soldiery or trained for mobilization patterns; and finally special transport corps were organized for embarking and disembarking on and from trains.;;;;;;;;;;;;;x
tank_expiriments;Two-Legger Experiments;;;;;;;;;;;;;x
tank_expiriments_desc;The "Two Legger"ù was a late fourteenth century landship pioneered in the substantial war between the Great Nag and Poumnia. Consisting functionally of an combustion engine axel system that turns two massive front metal wheels supported by smaller auxiliary wheels at the back and a sheet metal skeleton, it features a back engine brig, a front gunnery hold to preserve a mounted artillery piece or machine gun, and a tall front cabin tower with a barred window for shooting and steering. The first and earliest two leggers saw service trundling across the shelled-out landscape of the frontlines in Dhuknag. Its narrow tall structure with massive wheels made it easy to steer, and less liable to get stuck in muddy terrain, and even ford through small swamps, but it was liable to tip if hit directly by shells.;;;;;;;;;;;;;x
tank_exploits;Two Legger Doctrines;;;;;;;;;;;;;x
